"tablename","indexname","indexdef"
"app_settings","app_settings_pkey","CREATE UNIQUE INDEX app_settings_pkey ON public.app_settings USING btree (key)"
"item_reference","item_reference_name_key","CREATE UNIQUE INDEX item_reference_name_key ON public.item_reference USING btree (name)"
"item_reference","item_reference_pkey","CREATE UNIQUE INDEX item_reference_pkey ON public.item_reference USING btree (id)"
"match","idx_match_queue_set","CREATE INDEX idx_match_queue_set ON public.match USING btree (queue_id, set_number)"
"match","match_pkey","CREATE UNIQUE INDEX match_pkey ON public.match USING btree (match_id)"
"match","idx_match_date_queue","CREATE INDEX idx_match_date_queue ON public.match USING btree (game_datetime, queue_id)"
"mv_unit_stats_summary","idx_mv_summary_lookup","CREATE INDEX idx_mv_summary_lookup ON public.mv_unit_stats_summary USING btree (patch_name, unit_name, unit_tier)"
"participant","idx_participant_match_id","CREATE INDEX idx_participant_match_id ON public.participant USING btree (match_id)"
"participant","idx_participant_puuid","CREATE INDEX idx_participant_puuid ON public.participant USING btree (puuid)"
"participant","participant_pkey","CREATE UNIQUE INDEX participant_pkey ON public.participant USING btree (id)"
"participant_trait","idx_participant_trait_ref","CREATE INDEX idx_participant_trait_ref ON public.participant_trait USING btree (trait_ref_id)"
"participant_trait","idx_trait_participant_id","CREATE INDEX idx_trait_participant_id ON public.participant_trait USING btree (participant_id)"
"participant_unit","idx_unit_ref_lookup","CREATE INDEX idx_unit_ref_lookup ON public.participant_unit USING btree (unit_ref_id)"
"participant_unit","idx_unit_participant_id","CREATE INDEX idx_unit_participant_id ON public.participant_unit USING btree (participant_id)"
"participant_unit","participant_unit_pkey","CREATE UNIQUE INDEX participant_unit_pkey ON public.participant_unit USING btree (id)"
"participant_unit","idx_unit_items_gin","CREATE INDEX idx_unit_items_gin ON public.participant_unit USING gin (item_ids)"
"player","idx_player_uncrawled","CREATE INDEX idx_player_uncrawled ON public.player USING btree (last_crawled_at NULLS FIRST) WHERE (last_crawled_at IS NULL)"
"player","idx_player_identity","CREATE INDEX idx_player_identity ON public.player USING btree (game_name, tagline)"
"player","player_pkey","CREATE UNIQUE INDEX player_pkey ON public.player USING btree (puuid)"
"player","idx_player_harvest_queue","CREATE INDEX idx_player_harvest_queue ON public.player USING btree (last_harvested_at NULLS FIRST) WHERE (last_harvested_at IS NULL)"
"staging_match_ids","staging_match_ids_pkey","CREATE UNIQUE INDEX staging_match_ids_pkey ON public.staging_match_ids USING btree (match_id, puuid)"
"staging_match_ids","idx_staging_pending","CREATE INDEX idx_staging_pending ON public.staging_match_ids USING btree (game_datetime DESC) WHERE (crawled_at IS NULL)"
"staging_match_ids","idx_staging_by_puuid","CREATE INDEX idx_staging_by_puuid ON public.staging_match_ids USING btree (puuid) WHERE (crawled_at IS NULL)"
"staging_match_ids","idx_staging_by_set","CREATE INDEX idx_staging_by_set ON public.staging_match_ids USING btree (set_number, crawled_at)"
"staging_match_ids","idx_staging_by_patch","CREATE INDEX idx_staging_by_patch ON public.staging_match_ids USING btree (patch_id, crawled_at)"
"staging_player","staging_player_pkey","CREATE UNIQUE INDEX staging_player_pkey ON public.staging_player USING btree (puuid)"
"tft_patch","tft_patch_pkey","CREATE UNIQUE INDEX tft_patch_pkey ON public.tft_patch USING btree (id)"
"tft_patch","tft_patch_set_number_patch_name_key","CREATE UNIQUE INDEX tft_patch_set_number_patch_name_key ON public.tft_patch USING btree (set_number, patch_name)"
"trait_reference","trait_reference_name_key","CREATE UNIQUE INDEX trait_reference_name_key ON public.trait_reference USING btree (name)"
"trait_reference","trait_reference_pkey","CREATE UNIQUE INDEX trait_reference_pkey ON public.trait_reference USING btree (id)"
"unit_reference","unit_reference_pkey","CREATE UNIQUE INDEX unit_reference_pkey ON public.unit_reference USING btree (id)"
"unit_reference","unit_reference_character_id_tier_rarity_key","CREATE UNIQUE INDEX unit_reference_character_id_tier_rarity_key ON public.unit_reference USING btree (character_id, tier, rarity)"
